hpclab_pi_algA    	0.0000	0	udelRun2A         	0.0000	2	0.0000
hpclab_pi_algA    	0.0000	0	udelRun1A         	0.0000	5	0.0000
hpclab_pi_algA    	0.0000	0	umd_hcil_run01    	0.0000	0	0.0000
hpclab_pi_algA    	0.0000	0	prnaTaskA3        	0.0000	1	0.0000
hpclab_pi_algA    	0.0000	0	prnaTaskA2        	0.0000	1	0.0000
hpclab_pi_algA    	0.0000	0	prnaTaskA1        	0.0000	6	0.0000
hpclab_pi_algA    	0.0000	0	umd_hcil_run02    	0.0000	0	0.0000
hpclab_pi_algA    	0.0000	0	udelRun3A         	0.0000	4	0.0000
UWaterlooATEK     	0.0000	2	hpclab_pi_algA    	0.0000	0	0.0000
UWaterlooATEK     	0.0000	2	UWaterlooATNDEK   	0.0000	7	0.0000
UWaterlooATEK     	0.0000	2	udelRun2A         	0.0000	2	0.0000
UWaterlooATEK     	0.0000	2	udelRun1A         	0.0000	5	0.0000
UWaterlooATEK     	0.0000	2	umd_hcil_run01    	0.0000	0	0.0000
UWaterlooATEK     	0.0000	2	prnaTaskA3        	0.0000	1	0.0000
UWaterlooATEK     	0.0000	2	prnaTaskA2        	0.0000	1	0.0000
UWaterlooATEK     	0.0000	2	prnaTaskA1        	0.0000	6	0.0000
UWaterlooATEK     	0.0000	2	umd_hcil_run02    	0.0000	0	0.0000
UWaterlooATEK     	0.0000	2	udelRun3A         	0.0000	4	0.0000
UWaterlooATNDEK   	0.0000	7	hpclab_pi_algA    	0.0000	0	0.0000
UWaterlooATNDEK   	0.0000	7	udelRun2A         	0.0000	2	0.0000
UWaterlooATNDEK   	0.0000	7	udelRun1A         	0.0000	5	0.0000
UWaterlooATNDEK   	0.0000	7	umd_hcil_run01    	0.0000	0	0.0000
UWaterlooATNDEK   	0.0000	7	prnaTaskA3        	0.0000	1	0.0000
UWaterlooATNDEK   	0.0000	7	prnaTaskA2        	0.0000	1	0.0000
UWaterlooATNDEK   	0.0000	7	prnaTaskA1        	0.0000	6	0.0000
UWaterlooATNDEK   	0.0000	7	umd_hcil_run02    	0.0000	0	0.0000
UWaterlooATNDEK   	0.0000	7	udelRun3A         	0.0000	4	0.0000
