runtag1             runtag2             difference
CLIP-A-5.0-0.5      UWaterlooATEK       0.1102
CLIP-A-5.0-0.5      prnaTaskA3          0.1014
CLIP-A-5.0-0.5      prnaTaskA2          0.1051
CLIP-A-5.0-0.5      prnaTaskA1          0.1045
CLIP-A-5.0-0.5      PKUICSTRunA2        0.1623
CLIP-A-5.0-0.5      SNACS_LA            0.1311
CLIP-A-5.0-0.5      UWaterlooATDK       0.1598
CLIP-A-5.0-0.5      IRIT-KLTFIDF        0.1100
CLIP-A-5.0-0.5      SNACSA              0.1534
CLIP-A-5.0-0.5      QUBaseline          0.1198
CLIP-A-5.0-0.5      udelRun2A           0.1118
UWCMBP2             hpclab_pi_algA      0.1181
UWCMBP2             UWaterlooATEK       0.1358
UWCMBP2             UWaterlooATNDEK     0.1174
UWCMBP2             udelRun1A           0.1209
UWCMBP2             umd_hcil_run01      0.1175
UWCMBP2             prnaTaskA3          0.1270
UWCMBP2             prnaTaskA2          0.1307
UWCMBP2             prnaTaskA1          0.1301
UWCMBP2             UWaterlooATDK       0.1854
UWCMBP2             udelRun2A           0.1374
QUBaseline          UWCMBP2             0.1454
CLIP-A-DYN-0.5      PKUICSTRunA2        0.1422
CLIP-A-DYN-0.5      MPII_COMB_SORT      0.1178
CLIP-A-DYN-0.5      SNACS_LA            0.1110
CLIP-A-DYN-0.5      UWaterlooATDK       0.1397
CLIP-A-DYN-0.5      SNACSA              0.1333
CLIP-A-DYN-0.5      QUBaseline          0.0997
DALTRECMA1          UWaterlooATEK       0.1034
DALTRECMA1          prnaTaskA2          0.0983
DALTRECMA1          PKUICSTRunA2        0.1555
DALTRECMA1          MPII_COMB_SORT      0.1045
DALTRECMA1          SNACS_LA            0.1243
DALTRECMA1          UWaterlooATDK       0.1530
DALTRECMA1          IRIT-KLTFIDF        0.1032
DALTRECMA1          SNACSA              0.1466
DALTRECMA1          QUBaseline          0.1130
DALTRECMA1          udelRun2A           0.1050
MPII_LUC_SORT       hpclab_pi_algA      0.1636
MPII_LUC_SORT       UWaterlooATEK       0.1813
MPII_LUC_SORT       UWaterlooATNDEK     0.1629
MPII_LUC_SORT       udelRun1A           0.1664
