hpclab_pi_algA    	0.7000	1	udelRun2A         	0.7000	2	0.0000
hpclab_pi_algA    	0.7000	1	udelRun1A         	0.7000	2	0.0000
hpclab_pi_algA    	0.7000	1	umd_hcil_run01    	0.7000	0	0.0000
hpclab_pi_algA    	0.7000	1	prnaTaskA3        	0.7000	0	0.0000
hpclab_pi_algA    	0.7000	1	prnaTaskA2        	0.7000	0	0.0000
hpclab_pi_algA    	0.7000	1	prnaTaskA1        	0.7000	0	0.0000
hpclab_pi_algA    	0.7000	1	umd_hcil_run02    	0.7000	0	0.0000
hpclab_pi_algA    	0.7000	1	udelRun3A         	0.4000	4	0.3000
UWaterlooATEK     	0.7000	0	hpclab_pi_algA    	0.7000	1	0.0000
UWaterlooATEK     	0.7000	0	UWaterlooATNDEK   	0.6000	1	0.1000
UWaterlooATEK     	0.7000	0	udelRun2A         	0.7000	2	0.0000
UWaterlooATEK     	0.7000	0	udelRun1A         	0.7000	2	0.0000
UWaterlooATEK     	0.7000	0	umd_hcil_run01    	0.7000	0	0.0000
UWaterlooATEK     	0.7000	0	prnaTaskA3        	0.7000	0	0.0000
UWaterlooATEK     	0.7000	0	prnaTaskA2        	0.7000	0	0.0000
UWaterlooATEK     	0.7000	0	prnaTaskA1        	0.7000	0	0.0000
UWaterlooATEK     	0.7000	0	umd_hcil_run02    	0.7000	0	0.0000
UWaterlooATEK     	0.7000	0	udelRun3A         	0.4000	4	0.3000
UWaterlooATNDEK   	0.6000	1	hpclab_pi_algA    	0.7000	1	-0.1000
UWaterlooATNDEK   	0.6000	1	udelRun2A         	0.7000	2	-0.1000
UWaterlooATNDEK   	0.6000	1	udelRun1A         	0.7000	2	-0.1000
UWaterlooATNDEK   	0.6000	1	umd_hcil_run01    	0.7000	0	-0.1000
UWaterlooATNDEK   	0.6000	1	prnaTaskA3        	0.7000	0	-0.1000
UWaterlooATNDEK   	0.6000	1	prnaTaskA2        	0.7000	0	-0.1000
UWaterlooATNDEK   	0.6000	1	prnaTaskA1        	0.7000	0	-0.1000
UWaterlooATNDEK   	0.6000	1	umd_hcil_run02    	0.7000	0	-0.1000
UWaterlooATNDEK   	0.6000	1	udelRun3A         	0.4000	4	0.2000
udelRun2A         	0.7000	2	umd_hcil_run01    	0.7000	0	0.0000
udelRun2A         	0.7000	2	umd_hcil_run02    	0.7000	0	0.0000
udelRun2A         	0.7000	2	udelRun3A         	0.4000	4	0.3000
udelRun1A         	0.7000	2	udelRun2A         	0.7000	2	0.0000
udelRun1A         	0.7000	2	umd_hcil_run01    	0.7000	0	0.0000
udelRun1A         	0.7000	2	umd_hcil_run02    	0.7000	0	0.0000
udelRun1A         	0.7000	2	udelRun3A         	0.4000	4	0.3000
MPII_HYBRID_PW    	0.0000	33	hpclab_pi_algA    	0.7000	1	-0.7000
MPII_HYBRID_PW    	0.0000	33	UWaterlooATEK     	0.7000	0	-0.7000
MPII_HYBRID_PW    	0.0000	33	UWaterlooATNDEK   	0.6000	1	-0.6000
MPII_HYBRID_PW    	0.0000	33	udelRun2A         	0.7000	2	-0.7000
MPII_HYBRID_PW    	0.0000	33	udelRun1A         	0.7000	2	-0.7000
MPII_HYBRID_PW    	0.0000	33	umd_hcil_run01    	0.7000	0	-0.7000
MPII_HYBRID_PW    	0.0000	33	prnaTaskA3        	0.7000	0	-0.7000
MPII_HYBRID_PW    	0.0000	33	prnaTaskA2        	0.7000	0	-0.7000
MPII_HYBRID_PW    	0.0000	33	prnaTaskA1        	0.7000	0	-0.7000
MPII_HYBRID_PW    	0.0000	33	SNACSA            	0.7000	6	-0.7000
MPII_HYBRID_PW    	0.0000	33	PKUICSTRunA3      	0.0000	61	0.0000
MPII_HYBRID_PW    	0.0000	33	PKUICSTRunA2      	0.7000	1	-0.7000
MPII_HYBRID_PW    	0.0000	33	PKUICSTRunA1      	0.0000	56	0.0000
MPII_HYBRID_PW    	0.0000	33	SNACS_LA          	0.8000	1	-0.8000
MPII_HYBRID_PW    	0.0000	33	UWaterlooATDK     	0.7000	0	-0.7000
MPII_HYBRID_PW    	0.0000	33	QUDynExp          	0.7000	0	-0.7000
MPII_HYBRID_PW    	0.0000	33	QUDyn             	0.7000	0	-0.7000
MPII_HYBRID_PW    	0.0000	33	UWCMBP1           	0.6000	1	-0.6000
MPII_HYBRID_PW    	0.0000	33	UWCMBP2           	0.6000	1	-0.6000
MPII_HYBRID_PW    	0.0000	33	QUBaseline        	0.7000	0	-0.7000
MPII_HYBRID_PW    	0.0000	33	umd_hcil_run02    	0.7000	0	-0.7000
MPII_HYBRID_PW    	0.0000	33	MPII_LUC_SORT     	0.0000	100	0.0000
MPII_HYBRID_PW    	0.0000	33	udelRun3A         	0.4000	4	-0.4000
umd_hcil_run01    	0.7000	0	umd_hcil_run02    	0.7000	0	0.0000
ECNURUNA1         	0.7000	0	hpclab_pi_algA    	0.7000	1	0.0000
ECNURUNA1         	0.7000	0	UWaterlooATEK     	0.7000	0	0.0000
ECNURUNA1         	0.7000	0	UWaterlooATNDEK   	0.6000	1	0.1000
ECNURUNA1         	0.7000	0	udelRun2A         	0.7000	2	0.0000
ECNURUNA1         	0.7000	0	udelRun1A         	0.7000	2	0.0000
ECNURUNA1         	0.7000	0	MPII_HYBRID_PW    	0.0000	33	0.7000
ECNURUNA1         	0.7000	0	umd_hcil_run01    	0.7000	0	0.0000
ECNURUNA1         	0.7000	0	ECNURUNA2         	0.7000	0	0.0000
ECNURUNA1         	0.7000	0	ECNURUNA3         	0.7000	0	0.0000
ECNURUNA1         	0.7000	0	prnaTaskA3        	0.7000	0	0.0000
ECNURUNA1         	0.7000	0	prnaTaskA2        	0.7000	0	0.0000
ECNURUNA1         	0.7000	0	prnaTaskA1        	0.7000	0	0.0000
ECNURUNA1         	0.7000	0	SNACSA            	0.7000	6	0.0000
ECNURUNA1         	0.7000	0	PKUICSTRunA3      	0.0000	61	0.7000
ECNURUNA1         	0.7000	0	PKUICSTRunA2      	0.7000	1	0.0000
ECNURUNA1         	0.7000	0	PKUICSTRunA1      	0.0000	56	0.7000
ECNURUNA1         	0.7000	0	MPII_COMB_SORT    	0.0000	95	0.7000
ECNURUNA1         	0.7000	0	SNACS_LA          	0.8000	1	-0.1000
ECNURUNA1         	0.7000	0	UWaterlooATDK     	0.7000	0	0.0000
ECNURUNA1         	0.7000	0	QUDynExp          	0.7000	0	0.0000
ECNURUNA1         	0.7000	0	IRIT-KLTFIDF      	0.6000	5	0.1000
ECNURUNA1         	0.7000	0	IritSigSDA        	0.7000	0	0.0000
ECNURUNA1         	0.7000	0	IRIT-RTNotif.33   	0.6000	3	0.1000
ECNURUNA1         	0.7000	0	QUDyn             	0.7000	0	0.0000
ECNURUNA1         	0.7000	0	UWCMBP1           	0.6000	1	0.1000
ECNURUNA1         	0.7000	0	UWCMBP2           	0.6000	1	0.1000
ECNURUNA1         	0.7000	0	QUBaseline        	0.7000	0	0.0000
ECNURUNA1         	0.7000	0	umd_hcil_run02    	0.7000	0	0.0000
ECNURUNA1         	0.7000	0	MPII_LUC_SORT     	0.0000	100	0.7000
ECNURUNA1         	0.7000	0	udelRun3A         	0.4000	4	0.3000
ECNURUNA2         	0.7000	0	hpclab_pi_algA    	0.7000	1	0.0000
ECNURUNA2         	0.7000	0	UWaterlooATEK     	0.7000	0	0.0000
ECNURUNA2         	0.7000	0	UWaterlooATNDEK   	0.6000	1	0.1000
ECNURUNA2         	0.7000	0	udelRun2A         	0.7000	2	0.0000
ECNURUNA2         	0.7000	0	udelRun1A         	0.7000	2	0.0000
ECNURUNA2         	0.7000	0	MPII_HYBRID_PW    	0.0000	33	0.7000
ECNURUNA2         	0.7000	0	umd_hcil_run01    	0.7000	0	0.0000
ECNURUNA2         	0.7000	0	ECNURUNA3         	0.7000	0	0.0000
ECNURUNA2         	0.7000	0	prnaTaskA3        	0.7000	0	0.0000
ECNURUNA2         	0.7000	0	prnaTaskA2        	0.7000	0	0.0000
ECNURUNA2         	0.7000	0	prnaTaskA1        	0.7000	0	0.0000
ECNURUNA2         	0.7000	0	SNACSA            	0.7000	6	0.0000
ECNURUNA2         	0.7000	0	PKUICSTRunA3      	0.0000	61	0.7000
ECNURUNA2         	0.7000	0	PKUICSTRunA2      	0.7000	1	0.0000
ECNURUNA2         	0.7000	0	PKUICSTRunA1      	0.0000	56	0.7000
ECNURUNA2         	0.7000	0	MPII_COMB_SORT    	0.0000	95	0.7000
ECNURUNA2         	0.7000	0	SNACS_LA          	0.8000	1	-0.1000
ECNURUNA2         	0.7000	0	UWaterlooATDK     	0.7000	0	0.0000
ECNURUNA2         	0.7000	0	QUDynExp          	0.7000	0	0.0000
ECNURUNA2         	0.7000	0	IRIT-KLTFIDF      	0.6000	5	0.1000
ECNURUNA2         	0.7000	0	IritSigSDA        	0.7000	0	0.0000
ECNURUNA2         	0.7000	0	IRIT-RTNotif.33   	0.6000	3	0.1000
ECNURUNA2         	0.7000	0	QUDyn             	0.7000	0	0.0000
ECNURUNA2         	0.7000	0	UWCMBP1           	0.6000	1	0.1000
ECNURUNA2         	0.7000	0	UWCMBP2           	0.6000	1	0.1000
ECNURUNA2         	0.7000	0	QUBaseline        	0.7000	0	0.0000
ECNURUNA2         	0.7000	0	umd_hcil_run02    	0.7000	0	0.0000
ECNURUNA2         	0.7000	0	MPII_LUC_SORT     	0.0000	100	0.7000
ECNURUNA2         	0.7000	0	udelRun3A         	0.4000	4	0.3000
ECNURUNA3         	0.7000	0	hpclab_pi_algA    	0.7000	1	0.0000
ECNURUNA3         	0.7000	0	UWaterlooATEK     	0.7000	0	0.0000
ECNURUNA3         	0.7000	0	UWaterlooATNDEK   	0.6000	1	0.1000
ECNURUNA3         	0.7000	0	udelRun2A         	0.7000	2	0.0000
ECNURUNA3         	0.7000	0	udelRun1A         	0.7000	2	0.0000
ECNURUNA3         	0.7000	0	MPII_HYBRID_PW    	0.0000	33	0.7000
ECNURUNA3         	0.7000	0	umd_hcil_run01    	0.7000	0	0.0000
ECNURUNA3         	0.7000	0	prnaTaskA3        	0.7000	0	0.0000
ECNURUNA3         	0.7000	0	prnaTaskA2        	0.7000	0	0.0000
ECNURUNA3         	0.7000	0	prnaTaskA1        	0.7000	0	0.0000
ECNURUNA3         	0.7000	0	SNACSA            	0.7000	6	0.0000
ECNURUNA3         	0.7000	0	PKUICSTRunA3      	0.0000	61	0.7000
ECNURUNA3         	0.7000	0	PKUICSTRunA2      	0.7000	1	0.0000
ECNURUNA3         	0.7000	0	PKUICSTRunA1      	0.0000	56	0.7000
ECNURUNA3         	0.7000	0	MPII_COMB_SORT    	0.0000	95	0.7000
ECNURUNA3         	0.7000	0	SNACS_LA          	0.8000	1	-0.1000
ECNURUNA3         	0.7000	0	UWaterlooATDK     	0.7000	0	0.0000
ECNURUNA3         	0.7000	0	QUDynExp          	0.7000	0	0.0000
ECNURUNA3         	0.7000	0	IRIT-KLTFIDF      	0.6000	5	0.1000
ECNURUNA3         	0.7000	0	IritSigSDA        	0.7000	0	0.0000
ECNURUNA3         	0.7000	0	IRIT-RTNotif.33   	0.6000	3	0.1000
ECNURUNA3         	0.7000	0	QUDyn             	0.7000	0	0.0000
ECNURUNA3         	0.7000	0	UWCMBP1           	0.6000	1	0.1000
