hpclab_pi_algA    	0.3000	0	udelRun2A         	0.2000	2	0.1000
hpclab_pi_algA    	0.3000	0	udelRun1A         	0.1000	5	0.2000
hpclab_pi_algA    	0.3000	0	umd_hcil_run01    	0.3000	1	0.0000
hpclab_pi_algA    	0.3000	0	prnaTaskA3        	0.3000	0	0.0000
hpclab_pi_algA    	0.3000	0	prnaTaskA2        	0.3000	3	0.0000
hpclab_pi_algA    	0.3000	0	prnaTaskA1        	0.2000	6	0.1000
hpclab_pi_algA    	0.3000	0	umd_hcil_run02    	0.3000	1	0.0000
hpclab_pi_algA    	0.3000	0	udelRun3A         	0.2000	3	0.1000
UWaterlooATEK     	0.3000	0	hpclab_pi_algA    	0.3000	0	0.0000
UWaterlooATEK     	0.3000	0	UWaterlooATNDEK   	0.3000	0	0.0000
UWaterlooATEK     	0.3000	0	udelRun2A         	0.2000	2	0.1000
UWaterlooATEK     	0.3000	0	udelRun1A         	0.1000	5	0.2000
UWaterlooATEK     	0.3000	0	umd_hcil_run01    	0.3000	1	0.0000
UWaterlooATEK     	0.3000	0	prnaTaskA3        	0.3000	0	0.0000
UWaterlooATEK     	0.3000	0	prnaTaskA2        	0.3000	3	0.0000
UWaterlooATEK     	0.3000	0	prnaTaskA1        	0.2000	6	0.1000
UWaterlooATEK     	0.3000	0	umd_hcil_run02    	0.3000	1	0.0000
UWaterlooATEK     	0.3000	0	udelRun3A         	0.2000	3	0.1000
UWaterlooATNDEK   	0.3000	0	hpclab_pi_algA    	0.3000	0	0.0000
UWaterlooATNDEK   	0.3000	0	udelRun2A         	0.2000	2	0.1000
UWaterlooATNDEK   	0.3000	0	udelRun1A         	0.1000	5	0.2000
UWaterlooATNDEK   	0.3000	0	umd_hcil_run01    	0.3000	1	0.0000
UWaterlooATNDEK   	0.3000	0	prnaTaskA3        	0.3000	0	0.0000
UWaterlooATNDEK   	0.3000	0	prnaTaskA2        	0.3000	3	0.0000
UWaterlooATNDEK   	0.3000	0	prnaTaskA1        	0.2000	6	0.1000
UWaterlooATNDEK   	0.3000	0	umd_hcil_run02    	0.3000	1	0.0000
UWaterlooATNDEK   	0.3000	0	udelRun3A         	0.2000	3	0.1000
udelRun2A         	0.2000	2	umd_hcil_run01    	0.3000	1	-0.1000
udelRun2A         	0.2000	2	umd_hcil_run02    	0.3000	1	-0.1000
udelRun2A         	0.2000	2	udelRun3A         	0.2000	3	0.0000
udelRun1A         	0.1000	5	udelRun2A         	0.2000	2	-0.1000
udelRun1A         	0.1000	5	umd_hcil_run01    	0.3000	1	-0.2000
udelRun1A         	0.1000	5	umd_hcil_run02    	0.3000	1	-0.2000
udelRun1A         	0.1000	5	udelRun3A         	0.2000	3	-0.1000
MPII_HYBRID_PW    	0.0940	29	hpclab_pi_algA    	0.3000	0	-0.2060
MPII_HYBRID_PW    	0.0940	29	UWaterlooATEK     	0.3000	0	-0.2060
MPII_HYBRID_PW    	0.0940	29	UWaterlooATNDEK   	0.3000	0	-0.2060
MPII_HYBRID_PW    	0.0940	29	udelRun2A         	0.2000	2	-0.1060
MPII_HYBRID_PW    	0.0940	29	udelRun1A         	0.1000	5	-0.0060
MPII_HYBRID_PW    	0.0940	29	umd_hcil_run01    	0.3000	1	-0.2060
MPII_HYBRID_PW    	0.0940	29	prnaTaskA3        	0.3000	0	-0.2060
MPII_HYBRID_PW    	0.0940	29	prnaTaskA2        	0.3000	3	-0.2060
MPII_HYBRID_PW    	0.0940	29	prnaTaskA1        	0.2000	6	-0.1060
MPII_HYBRID_PW    	0.0940	29	SNACSA            	0.2000	8	-0.1060
